Player,Bianco Hills,,,,,,,,,,,,,,,,Ricco Harbor,,,,,,,,,,,,,Gelato Beach / Mamma Beach,,,,,,,,,,,,,,Pinna Park,,,,,,,,,,,,,,,Sirena Beach,,,,,,,,,,,,,,,Noki Bay / Mare Bay,,,,,,,,,,,,,Pianta Village / Monte Village,,,,,,,,,,,,,Delfino Plaza,,,,,,,,,,,,,,,,,,,
,Ep. 1,Ep. 2,Ep. 3,,Ep. 4,Ep. 5,Ep. 6,,Ep. 7,Ep. 8,Ep. 3 Reds,,Ep. 6 Reds,,100 Coins,,Ep. 1,Ep. 2,Ep. 3,Ep. 4,,Ep. 5,Ep. 6,,Ep. 7,Ep. 8,Hidden 2,100 Coins,,Ep. 1,,Ep. 2,Ep. 3,Ep. 4,Ep. 5,Ep. 6,Ep. 7,Ep. 8,Hidden 1,Hidden 2,,100 Coins,,Ep. 1,Ep. 2,,Ep. 3,Ep. 4,Ep. 5,Ep. 6,,,Ep. 7,Ep. 8,Hidden 1,Hidden 2,100 Coins,,Ep. 1,Ep. 2,,Ep. 3,Ep. 4,,Ep. 5,Ep. 6,,Ep. 7,Ep. 8,Hidden 1,Hidden 2,100 Coins,,Ep. 1,Ep. 2,Ep. 3,Ep. 4,Ep. 5,Ep. 6,,Ep. 7,Ep. 8,Hidden 1,Hidden 2,100 Coins,,Ep. 1,Ep. 2,Ep. 3,Ep. 4,Ep. 5,,Ep. 6,Ep. 7,Ep. 8,Hidden 1,Hidden 2,100 Coins,,Airstrip,Airstrip Reds,,Beach Shine,Box Game 1,Box Game 2,Box Game 3,Corona Mountain,Chuckster,Gelato Pipe,Gold Bird,Grass Pipe,Jail Secret,Left Bell,Underbell,Light- house,Lilypad,Pachinko,Right Bell,Shine Gate
,,,Full Level,Secret Only,,,Full Level,Secret Only,,,Any Nozzle,Hover Only,Any Nozzle,Hover Only,,,,,,Full Level,Secret Only,,Any Strat,RTA Only,,,,,,Full Level,Secret Only,,,,,,,,,Any Nozzle,Hover Only,,,,Full Level,Secret Only,,,,Full Level,Secret Only,EYG,,,,,,,,Full Level,Secret Only,,Full Level,Secret Only,,US/PAL,JP Only,,,,,,,,,,,,Full Level,Secret Only,,,,,,,,,,,Full Level,Secret Only,,,,,,,,,Any Strat,RTA,,,,,,,,,,,,,,,,,
AverageTrey,50.51,1:19.79,,13.94,43.9,,1:12.20,40.39,16.00,,,,,51.24,2:22.53,,55.55,17.02,14.45,46.70,,55.7,,1:33.5,,47.27,,2:06.44,,,,,,,8.81,55.51,,29.82,,,,,,,,,33.43,,42.82,,27.98,,,,,,1:33.93,,,,35.68,23.46,58.67,,,,,25.03,,,,2:19.92,,54.48,28.99,42.94,1:34.08,,54.94,30.68,,,,,1:46.56,,45.13,12.57,29.91,,51.43,28.79,2:15.59,18.26,,,,1:30.09,,,,,21.57,,,,1:20.15,,,,52.05,23.71,,6.57,,,,,
JJsrl,52.73,1:22.23,39.04,13.93,42.96,2:22.89,1:12.96,40.39,16.83,,,,,,,,55.98,17.91,14.71,48.38,30.81,58.65,,1:33.01,15.80,,,,,,,,1:28.18,,,,19.65,28.89,,,,,,58.47,44.68,29.02,34.65,54.13,,,28.52,1:20.24,12.64,,,,,,1:33.87,56.96,35.36,26.61,58.07,21.88,,,2:21.46,27.33,,,,,,55.81,28.68,47.51,1:39.63,,55.67,29.99,16.34,,,,,,43.36,,31.14,47.80,59.06,29.88,2:15.36,18.66,,,,,,,,,,22.20,,,1:19.98,,,,,,,,,,28.81,,
Paperario,51.33,1:22.52,39.18,14.14,43.42,2:17.77,1:13.16,40.10,16.05,,,,,,,,56.01,17.85,15.67,47.94,30.69,57.24,,,16.81,,,,,,,,,,,,,32.05,,,,,,,43.77,28.89,36.59,53.97,,,28.04,1:26.97,12.84,,,,,,1:41.32,56.68,35.02,26.9,59.74,23.98,,,,25.09,4:22.40,,,,,54.85,28.95,45.93,,,55.46,30.89,19.18,,,1:08.65,,,46.57,,30.66,45.69,55.71,,2:15.46,18.37,,,,,,,,,,,,,1:22.77,,,,,,,,,,27.61,,
Gohgo,53.39,1:22.11,39.09,13.90,43.17,2:22.73,1:12.24,41.66,16.10,,,,,,,,52.63,17.48,14.90,45.46,30.86,59.02,,1:33.01,15.20,,,,,,,,,,,,19.58,31.08,,,,,,57.62,42.07,28.68,36.92,54.67,,,,1:29.02,13.17,,,,,,1:37.34,57.99,35.61,25.39,1:00.42,23.97,,,,22.44/10.62,4:21.54,,,,,55.40,28.75,48,,,55.32,30.04,16.43,,,,,,45.20,,29.79,46.06,,30.02,2:15.69,18.97,,,,,,,,,,,,,1:24.51,,,,,,,,,,,,
SBlectric,,,39.23,13.99,44.61,,,41.29,16.08,1:03.62,,38.45,50.03,,2:23.73,,56.37,17.84,15.11,45.95,31.52,,,1:33.25,15.41,53.04,59.54,2:11.18,,,20.21,,1:19.33,,13.15,57.11,,25.78,,,39.05,2:33.81,,,,,35.72,55.58,46.96,,28.28,1:29.90,12.66,,42.06,1:25.51,1:33.71,,1:41.42,,36.05,28.38,,21.94,,,2:19.96,25.79,4:19.03,1:07.32,41.09,2:23.94,,56.31,29.89,46.69,1:39.44,,56.35,30.72,19.38,,30.96,1:09.12,1:46.73,,46.17,,30.86,,,,2:14.12,18.53,1:29.14,1:00.24,42.90,1:36.42,,,,1:29.14,23.22,,,,1:24.45,15.10,,,,,,7.90,28.21,,27.01,22.44,
Samura1man,,1:23.52,39.48,13.99,43.52,,1:13.75,40.53,16.00,,,,,,,,54.99,,15.01,46.79,30.85,57.54,,,15.34,,,,,,20.17,,1:13.97,,,,18.93,28.65,,,,,,57.82,43.83,28.85,33.96,53.97,,,28.14,,12.53,,,,,,1:39.59,56.99,35.29,27.47,59.00,24.04,,,,26.75,,,,,,55.24,29.09,,1:31.88,,56.09,31.22,16.04,,,,,,47.54,,30.78,45.96,,,2:15.62,18:10,,,,,,,,,,,,,1:20.58,,,,,,,,,,,,
Guy2308,,1:19.90,37.26,,43.58,,,,,59.84,,,,,2:21.09,,,16.81,15.11,44.62,,55.44,,,,46.24,,2:06.34,,,,,,,8.64,,,26.85,29.69,,41.19,2:27.47,,50.10,,,33.78,53.64,,,,1:28.88,,1:06.05,,,1:26.40,,1:31.72,,35.12,,,,,,,,,,,2:14.75,,,28.78,45.35,1:30.93,,53.35,30.85,,,29.89,,1:42.65,,,,29.29,,51.92,,2:16.36,,,,,1:35.58,,,,,,22.70,,,1:17.19,11.27,,-,,27.24,,,25.48,,,21.48,
Dutchj,,1:24.90,,14.03,44.13,2:22.19,1:14.57,41.24,16.10,,,,,,,,55.36,17.88,16.00,48.17,30.78,57.42,,1:33.18,16.80,,,,,,,,,,,,19.67,29.23,,,,,,57.90,44.32,29.14,36.95,53.30,,,28.85,1:28.45,12.61,,,,,,1:37.32,57.70,35.53,27.76,59.13,24.61,2:20.78,,2:20.23,26.95,,,,,,54.70,29.26,48.70,1:35.90,,55.91,30.75,19.71,,,,,,45.60,,30.49,46.06,57.48,31.45,2:15.53,18.31,,,,,,,,,,,,,1:24.03,,,,,,,,,,,,
Taggo,,1:23.21,37.84,14.19,45.87,2:21.01,1:13.70,40.29,17.33,,,,,,,,55.24,18.25,14.84,48.35,30.98,57.87,,1:33.83,16.61,,,,,,,,,,,,19.60,32.81,,,,,,56.90,43.79,28.84,40.89,57.54,,,28.21,1:28.47,13.20,,,,,,1:46.31,56.81,35.58,27.15,1:00.83,24.34,2:17.44,2:21.54,2:18.58,26.39,,,,,,59.02,29.54,44.55,1:37.27,14.65,59.24,33.61,18.90,,,,,,47.01,14.21,31.76,46.44,1:00.16,32.48,2:11.22,19.07,,,,,,,,,,,,,1:25.26,,,,,,,,,,,,
Snide,,,,13.86,,,1:10.92,38.19,16.00,,,,,,,,,16.61,15.09,45.57,30.02,,,1:34.01,15.00,,,,,,,,,,,,18.47,27.97,,,,,,,,,,53.73,,,27.76,,12.44,,,,,,,,,,,20.70,,,,,,,,,,,27.54,,,,,28.97,15.53,,,,,,,,,,,,,17.74,,,,,,,,,,,,,,,,,,,,,,,,,
